area,url,category,title,date,id,comment,body
宮城県,https://www.pref.miyagi.jp/soshiki/syokokin/shingatacorona-kinyuu.html, 融資,新型コロナウイルス感染症に伴う中小企業者に対する金融支援について ,2022-03-30,,,
宮城県,https://www.pref.miyagi.jp/soshiki/kikisom/vtp/teityaku.html, 支援情報,ワクチン・検査パッケージ等定着促進事業 ,2022-03-30,,,
宮城県,https://miyagi-pref.covid19.supportnavi.jp/, 支援情報,宮城県新型コロナウィルス感染症支援情報ナビ ,2022-03-30,,,
宮城県,https://www.pref.miyagi.jp/soshiki/suishin/gyogyousya-shien.html, 支援情報,新型コロナウイルス感染症の影響を受ける漁業者への主な支援策 ,2022-03-30,,,
宮城県,https://www.pref.miyagi.jp/soshiki/suishin/suisankakou-shien.html, 支援情報,新型コロナウイルス感染症の影響を受ける水産加工・流通業者への主な支援策 ,2022-03-30,,,
宮城県,https://www.pref.miyagi.jp/soshiki/nosin/keieisodan.html, 相談,「新型コロナウイルスに関する農業経営相談窓口」の設置 ,2022-03-30,,,
宮城県,https://www.pref.miyagi.jp/soshiki/chukisi/corona.html, 相談,新型コロナウイルス感染症に関する中小企業者等向け相談窓口 ,2022-03-30,,,
宮城県,https://www.pref.miyagi.jp/soshiki/suishin/suisanonestop.html, 相談,水産加工業ワンストップ相談窓口 ,2022-03-30,,,
宮城県,https://www.pref.miyagi.jp/soshiki/tiroui/korona-sodan.html, 相談,新型コロナウィルス感染症に関する労働相談 ,2022-03-30,,,
宮城県,https://miyagi-ninsho.jp/, 認証制度,飲食店認証制度「選ぶ！選ばれる!!みやぎ飲食店コロナ対策認証制度」 ,2022-03-30,,,
宮城県,https://www.pref.miyagi.jp/soshiki/syahuku/jyukyokakuho.html, 給付金,住居確保給付金（個人向け） ,2022-03-30,,,
宮城県,https://www.tohoku.meti.go.jp/s_sangi_jinza/topics/220620.html,,イベント情報：「人材確保等総合支援事業イベント情報（2022年度）のお知らせ」,2022-08-02,78677,※2022年8月1日更新,
宮城県,https://www.pref.miyagi.jp/release/nosei/ho20220822.html,,【宮城県】補助金：「【第2次】県産品販売会等開催支援事業補助金の募集について」,2022-08-23,82727,※2022年8月22日更新　申請期限2022年9月30日,
宮城県,https://www.joho-miyagi.or.jp/hazard_information/25237,,新型コロナウイルス感染症関連：「新型コロナウイルスの感染拡大の影響を受けた中小企業者に対する支援について」,2022-07-13,74821,※2022年7月11日更新,
宮城県,https://www.city.kakuda.lg.jp/soshiki/14/8607.html,,【宮城県】補助金：「宮城県中小企業等事業再構築支援補助金について」,2022-06-03,77650,※2022年5月13日更新　申請期限2023年1月31日,
宮城県,https://www.town.onagawa.miyagi.jp/kankou_zigyousya.html,, 【宮城県】補助金：「宮城県宿泊施設感染防止対策等強化事業補助金」,2022-04-14,74700,※2022年4月1日更新　申請期限2022年10月31日,
宮城県,https://hojo.miyagi-ninsho.jp/,,【宮城県】補助金：「宮城県認証飲食店省エネルギー設備等導入支援補助金」,2022-09-08,83974,※申請期限2022年10月31日,
宮城県,https://www.pref.miyagi.jp/soshiki/soukou/04-2welfaretaxisupport.html,,【宮城県】支援金：「宮城県定時定路線・生活維持支援金（福祉タクシー事業者向け）について」,2022-10-11,86134,※2022年10月7日更新　申請期限2022年11月30日,
宮城県,https://www.pref.miyagi.jp/soshiki/soukou/04teiziteirosensienkin2-2.html,,【宮城県】補助金・助成金：「宮城県定時定路線・生活維持支援金について」,2022-12-19,91247,※2022年12月19日更新　申請期限2023年1月31日,
宮城県,https://www.pref.miyagi.jp/soshiki/yakumu/genyubukka.html,,補助金・助成金：「令和4年度宮城県保険薬局に対する原油価格・物価高騰対策事業について」,2022-12-27,91861,※2022年12月23日更新　申請期限2023年2月28日,
宮城県,https://www.pref.miyagi.jp/soshiki/soukou/04teiziteirosensienkin2.html,,"【宮城県】補助金・助成金：「乗合バス事業者,タクシー事業者,運転代行業者,貸切バス事業者,福祉タクシー事業者に対し,支援金を交付します。」",2022-12-27,91867,※2022年12月26日更新　申請期限2023年1月31日,
宮城県,https://www.pref.miyagi.jp/soshiki/nariwai/korona/dennkiryoukin.html,,【宮城県】補助金・助成金：【事業者募集】農産物直売所等電気料金緊急支援事業費補助金について,2023-01-10,92423,※2023年1月6日更新　申請期限2023年2月15日,
宮城県,https://miyagi-chusho-saiki.jp/r5/,,【宮城県】補助金・助成金：「令和5年度宮城県中小企業等再起支援補助金」,2023-05-09,101210,※申請期間2023年5月31日,
宮城県,https://www.city.tochigi.lg.jp/soshiki/32/31038.html,,【栃木市】補助金・助成金：「栃木市オフィス移転等支援補助金のご案内」,2023-09-28,112020,※2020年10月29日更新,
宮城県,https://www.pref.miyagi.jp/soshiki/situkan/sinkoukansensyoutaiouryokukyouka.html,,補助金・助成金：「新興感染症対応力強化事業（協定締結医療機関への補助事業）について」,2024-05-08,128329,※2024年5月2日更新　申請期限2024年5月23日,
