area,url,category,title,date,body,id,comment
摂津市,https://www.city.settsu.osaka.jp/sangyou/shoukougyou/14904.html, 支援金,摂津市新型コロナウイルス感染症対策中小企業者雇用継続支援事業 ,2022-03-30,スマートフォン版を表示本文へ文字サイズ背景色変更SelectLanguageEspañolPortuguêsEn,,
摂津市,https://www.city.settsu.osaka.jp/soshiki/hokenfukushibu/koureikaigoka/koureifukushi/17957.html, 支援金,摂津市高齢者雇用確保支援金 ,2022-03-30,スマートフォン版を表示本文へ文字サイズ背景色変更SelectLanguageEspañolPortuguêsEn,,
摂津市,https://www.city.settsu.osaka.jp/soshiki/hokenfukushibu/hokenfukushika/oshirase/13910.html, 補助金,摂津市新型コロナウイルス感染症対策検体採取補助金 ,2022-03-30,スマートフォン版を表示本文へ文字サイズ背景色変更SelectLanguageEspañolPortuguêsEn,,
摂津市,https://www.city.settsu.osaka.jp/sangyou/shoukougyou/yuushi/5239.html, 融資,摂津市中小企業事業資金融資制度 ,2022-03-30,スマートフォン版を表示本文へ文字サイズ背景色変更SelectLanguageEspañolPortuguêsEn,,
摂津市,https://www.city.settsu.osaka.jp/sangyou/shoukougyou/12327.html, 支援情報,【事業所の皆様へ】新型コロナウイルスに関する情報(支援策パンフレット、セーフティネット保証他)について ,2022-03-30,スマートフォン版を表示本文へ文字サイズ背景色変更SelectLanguageEspañolPortuguêsEn,,
摂津市,https://www.city.settsu.osaka.jp/soshiki/seikatukannkyou/sangyoushinkouka/shienjigyou/7476.html,, 中小企業等経営強化法に基づく先端設備等導入計画の認定申請受付について ,2022-03-30,スマートフォン版を表示本文へ文字サイズ背景色変更SelectLanguageEspañolPortuguêsEn,,
摂津市,https://www.city.settsu.osaka.jp/soshiki/soumubu/koteishisannzeika/singatakorona/14422.html,, 新型コロナウイルス感染症の影響をうけながらも新規に設備投資を行う中小事業者等に対する特例措置 ,2022-03-30,スマートフォン版を表示本文へ文字サイズ背景色変更SelectLanguageEspañolPortuguêsEn,,
摂津市,https://www.city.settsu.osaka.jp/disaster/shinngatakorona/shienseido/13271.html, 支援情報,新型コロナウイルス感染症関連支援情報一覧 ,2022-03-30,スマートフォン版を表示本文へ文字サイズ背景色変更SelectLanguageEspañolPortuguêsEn,,
摂津市,https://www.city.settsu.osaka.jp/sangyou/shoukougyou/15821.html,, 摂津ビジネスサポートセンター（南千里丘別館、毎週火曜日）を設置します！ ,2022-03-30,スマートフォン版を表示本文へ文字サイズ背景色変更SelectLanguageEspañolPortuguêsEn,,
摂津市,https://www.city.settsu.osaka.jp/disaster/shinngatakorona/shienseido/shoubyouteate/13326.html, 手当金,新型コロナウイルス感染症に関する傷病手当金について（後期高齢者医療制度） ,2022-03-30,スマートフォン版を表示本文へ文字サイズ背景色変更SelectLanguageEspañolPortuguêsEn,,
摂津市,https://www.city.settsu.osaka.jp/disaster/shinngatakorona/shienseido/shoubyouteate/13295.html, 給付金,新型コロナウイルス感染症に関する傷病手当金について（国民健康保険） ,2022-03-30,スマートフォン版を表示本文へ文字サイズ背景色変更SelectLanguageEspañolPortuguêsEn,,
摂津市,https://www.city.settsu.osaka.jp/disaster/shinngatakorona/shienseido/17122.html, 給付金,子育て世帯生活支援特別給付金（ひとり親世帯以外の低所得の子育て世帯分） ,2022-03-30,スマートフォン版を表示本文へ文字サイズ背景色変更SelectLanguageEspañolPortuguêsEn,,
摂津市,https://www.city.settsu.osaka.jp/soshiki/hokenfukushibu/koureikaigoka/kaigohoken/jigyousha/19858.html,,【摂津市】補助金：「新型コロナウイルス感染症対策介護サービス事業所等支援補助金」,2022-08-31,,83299,※2022年8月23日更新　申請期限2023年3月31日
摂津市,https://www.city.settsu.osaka.jp/soshiki/hokenfukushibu/koureikaigoka/kaigohoken/jigyousha/20614.html,,【摂津市】補助金・助成金：「介護サービス事業所等物価高騰対策支援金」,2023-01-10,,92374,※2023年1月4日更新　申請期限2023年3月31日
摂津市,https://www.city.settsu.osaka.jp/soshiki/hokenfukushibu/shougaifukushika/oshirase/20647.html,,【摂津市】補助金・助成金：「障害福祉サービス事業所物価高騰対策支援金」,2023-01-10,,92377,※2022年12月26日更新　申請期限2023年3月31日
摂津市,https://www.city.settsu.osaka.jp/soshiki/jisedaiikuseibu/kosodateshienka/oshirase/20798.html,,【摂津市】補助金・助成金：「障害児福祉サービス事業所物価高騰対策支援金」,2023-01-30,,94113,※2023年1月17日更新　申請期限2023年3月31日
