area,url,category,title,date,body
茨木市,https://www.city.ibaraki.osaka.jp/kikou/sangyo/shoukou/menu/51489.html, 給付金,【事業者の皆さまへ】JPQR導入促進給付金 ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/kikou/sangyo/shoukou/menu/202110covid19_sien/52012.html, 補助金,茨木市新しい生活様式対応事業所応援補助金 ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/kikou/sangyo/shoukou/menu/202110covid19_sien/51957.html, 補助金,茨木市店舗賃借料等支援補助金 ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/kikou/sangyo/shoukou/menu/202110covid19_sien/52081.html, 補助金,茨木市ECサイト活用等支援補助金 ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/kikou/kensetsu/koutsuseisaku/menu/38953.html, 交付金,新型コロナウイルス感染症に伴う公共交通事業継続等応援交付金 ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/kikou/sangyo/shoukou/menu/48174.html, 補助金,「withコロナ時代」に対応した事業展開を支援します！！（地域生活支援事業：コロナ対応型） ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/kikou/sangyo/shoukou/menu/kigyoshien/50927.html, 補助金,事業再構築補助金申請に係る事業計画補助金 ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/kikou/sangyo/shoukou/menu/yushiassen/48213.html, 利子補給,新型コロナウイルス感染症関連融資に係る利子補給制度 ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/kikou/sangyo/shoukou/menu/yushiassen/shinyohosho.html, 信用保証料補給,信用保証料補助制度 ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/kikou/sangyo/shoukou/menu/yushiassen/seido_yushi/index.html, 融資,茨木市の制度融資 ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/kikou/sangyo/shoukou/menu/yushiassen/safe/46957.html, 融資,セーフティネット保証4号の発動について（新型コロナウイルス感染症関連） ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/kikou/sangyo/shoukou/menu/yushiassen/safe/hoshoseido.html, 融資,セーフティネット保証制度（5号等） ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/kikou/sangyo/shoukou/menu/yushiassen/safe/47197.html, 融資,危機関連保証の発動について（新型コロナウイルス感染症関連） ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/kikou/sangyo/shoukou/menu/kigyoshien/41998.html,, 中小企業等経営強化法に基づく「先端設備等導入計画」の認定に係る申請受付について ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/saigai/shingatacoronavirusinformation/oshirase/49108.html,, PCR検査支援事業の実施について ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/kikou/sangyo/shoukou/menu/rodofukushi/shienjoseikin.html, 助成金,再就職支援助成金制度（個人向け） ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/saigai/shingatacoronavirusinformation/shienjouhousonota/47342.html, 融資,生活福祉資金（緊急小口資金・総合支援資金）のコロナ特例貸付（個人向け） ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/jigyousya/koyo/50083.html, 支援情報,【事業者の皆さまへ】新型コロナウイルスに関する情報について ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/saigai/shingatacoronavirusinformation/shienjouhousonota/47551.html, 支援情報,新型コロナウイルス感染症に関する支援情報一覧について ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/kikou/sangyo/shoukou/menu/support.html, 相談,事業者向け相談窓口「いばらき経営サポートデスク」 ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/saigai/shingatacoronavirusinformation/shingatacoronaviruskansensyo/47074.html, 相談,新型コロナウイルス感染症に関するコールセンター ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
茨木市,https://www.city.ibaraki.osaka.jp/jigyousya/koyo/shoko/1316223614002.html, 相談,中小企業経営アドバイザーによる無料相談 ,2021-12-18,本文へ文字サイズ|背景色携帯サイト|サイトマップ|English|한국어|
