area,url,category,title,date,id,comment,body
兵庫県,https://web.pref.hyogo.lg.jp/sr07/jitankyouryokukin11.html, 協力金,新型コロナウイルス感染症拡大防止協力金(飲食店向け・第11期：令和4年3月7日～3月21日の時短要請分)  ,2022-03-30,,,
兵庫県,https://web.pref.hyogo.lg.jp/sr07/jitankyouryokukin10.html, 協力金,新型コロナウイルス感染症拡大防止協力金(飲食店向け・第10期：令和4年1月27日～3月6日の時短要請分)  ,2022-03-30,,,
兵庫県,https://web.pref.hyogo.lg.jp/kk03/corona/corona_support2.html#corona_support2-1, 融資,兵庫県制度融資 ,2022-03-30,,,
兵庫県,https://web.pref.hyogo.lg.jp/sr08/ie05_000000031.html, 融資,中小企業向け融資制度（制度融資） ,2022-03-30,,,
兵庫県,https://web.pref.hyogo.lg.jp/kk22/toriatsukai2020.html, 税制,新型コロナウイルス感染症に関する県税の取扱い ,2022-03-30,,,
兵庫県,https://web.pref.hyogo.lg.jp/kk22/yuuyotetsuduki.html, 税制,新型コロナウイルスの影響により県税の納税が困難な場合の手続き等について ,2022-03-30,,,
兵庫県,https://www.city.takarazuka.hyogo.jp/_res/projects/default_project/_page_/001/029/950/20210217.1.pdf,, 社会福祉施設への退院受入支援事業について ,2022-03-30,,,
兵庫県,https://web.pref.hyogo.lg.jp/nk02/corona.html,, 新型コロナウイルス感染症の影響を受けている農林漁業者への支援 ,2022-03-30,,,
兵庫県,https://web.pref.hyogo.lg.jp/kf05/0uenhaken.html,, 介護サービス事業所・施設向け新型コロナウイルス感染対策関連情報 ,2022-03-30,,,
兵庫県,https://web.pref.hyogo.lg.jp/kk03/corona/corona_support_top01.html, 支援情報,新型コロナウイルス感染に関する支援策（事業者向け） ,2022-03-30,,,
兵庫県,https://web.pref.hyogo.lg.jp/kk03/corona/corona_support3.html#corona_support3-7, 相談,中小企業のための特別相談窓口 ,2022-03-30,,,
兵庫県,https://web.pref.hyogo.lg.jp/kk03/corona/corona_support3.html#corona_support3-12, 相談,旅行関係事業者等に対する特別相談窓口 ,2022-03-30,,,
兵庫県,https://web.pref.hyogo.lg.jp/kk03/corona/corona_support3.html#corona_support3-18, 相談,農業者、事業者等のための相談窓口 ,2022-03-30,,,
兵庫県,https://web.pref.hyogo.lg.jp/kk03/coronatoiawasemadoguchi.html, 相談,新型コロナウイルス感染症に関する相談窓口 ,2022-03-30,,,
兵庫県,https://web.hyogo-iic.ne.jp/keiei/topics9629, 相談,新型コロナウィルスに関する経営等相談窓口(ひょうご産業活性化センター、神戸市産業振興財団、神戸商工会議所による共同設置) ,2022-03-30,,,
兵庫県,https://jsite.mhlw.go.jp/hyogo-roudoukyoku/madoguchi_annai_00002.html, 相談,新型コロナ感染症の影響による特別労働相談窓口～厚生労働省兵庫労働局～ ,2022-03-30,,,
兵庫県,https://www.city.kobe.lg.jp/a31812/384871164250.html,,【神戸市】商談会：「神戸市オンライン型海外商談　参加企業の募集」,2022-08-12,82014,※2022年8月8日更新　申請期限2022年8月31日,
兵庫県,https://web.hyogo-iic.ne.jp/kigyo/postcorona-waku,,助成金：「起業家支援事業（ポストコロナ枠（再チャレンジ枠））」,2022-08-03,81423,※申請期限2022年8月31日,
兵庫県,https://www.kansai.meti.go.jp/2kokuji/glocal_PT/sesakuguide/sesakuguide2022.html,,支援情報：「近畿地域の中小企業のための海外展開支援施策ガイド2022」が完成しました！ ～こんなときどんな支援があるの？にお答えします～,2022-06-21,78668,※2022年6月17日更新,
兵庫県,https://web.pref.hyogo.lg.jp/sr05/r4/gosetsu-rishokusha-kigyouboshu.html,,【兵庫県】イベント出展者募集：転職希望者向け「ひょうごで働こう！合同企業説明会in神戸」の出展企業を募集します,2022-09-02,83465,※2022年9月1日更新　申請期限2022年9月9日,
兵庫県,https://www.city.osaka.lg.jp/keizaisenryaku/page/0000578120.html,,【大阪府、京都府、兵庫県、滋賀県、和歌山県、鳥取県、徳島県、大阪市、堺市、京都市、神戸市】商談会：「令和4年度関西広域連合WEB型マッチング商談会参加事業者の募集について」,2022-09-06,83812,※2022年9月2日更新　申請期限2022年9月22日,
兵庫県,https://web.pref.hyogo.lg.jp/sr10/re-challenge.html,,【兵庫県】事業者募集：「ポストコロナ再チャレンジ起業家育成事業」,2022-09-27,85150,※2022年9月27日更新　申請期限2022年11月3日,
